Place,Tax
 Ahrenshoop,2.5
 Baabe,2.3
 Binz,2.85
 Boltenhagen,2.1
 Born a. Darß,2.5
Breege-Juliusruh,1.5
 Dierhagen,2.5
Glowe,1.0
Graal-Müritz,2.0
Grömitz,3.0
 Göhren,2.4
Heiligenhafen,3.0
Hohwacht,2.4
Insel Fehmarn,2.0
Insel Poel,2.0
"Kaiserbäder (Ahlbeck, Bansin, Heringsdorf)",2.7
 Karlshagen,2.0
 Koserow,2.0
 Kühlungsborn,2.0
 Loddin,1.85
Lohme,1.0
Markgrafenheide,1.75
Neustadt / Holstein,2.5
 Prerow,2.0
 Rerik,2.0
Sassnitz,1.5
 Sellin,2.8
 Thiessow,2.2
 Trassenheide,2.3
 Ückeritz,2.0
Wieck a.d. Darss,2.5
 Zempin,2.0
 Warmenünde,2.25
Seeheilbad Zingst,2.8
 Zinnowitz,2.5
